_id,stockTicker,stockName,currentPrice,marketCap,sector
801,CYTX,Cytori Therapeutics Inc,0.3972,13949429.652,Health Care
802,CYTXW,Cytori Therapeutics Inc,0.0265,0,Health Care
803,CZFC,Citizens First Corporation,24.5681,62068282.7737,Finance
804,CZNC,Citizens & Northern Corp,23.6,288262790,Finance
805,CZR,Caesars Entertainment Corporation,14.35,10104283265.3,Consumer Services
806,CZWI,"Citizens Community Bancorp, Inc.",13.96,82135097.88,Finance
807,DAIO,Data I/O Corporation,11.51,94854473.99,Capital Goods
808,DAKT,"Daktronics, Inc.",9.41,418501949.11,Consumer Durables
809,DARE,"Dare Bioscience, Inc.",2.28,13787527.08,Health Care
810,DAVE,"Famous Dave&#39;s of America, Inc.",6.1,44992361.7,Consumer Services
811,DAX,Horizons DAX Germany ETF,32.98,19788000,n/a
812,DBVT,DBV Technologies S.A.,23.2,548221289.6,Health Care
813,DCAR,"DropCar, Inc.",3.07,4823138.85,n/a
814,DCIX,Diana Containerships Inc.,2.9,2195859.7,Transportation
815,DCOM,"Dime Community Bancshares, Inc.",19.25,720317097.5,Finance
816,DCPH,"Deciphera Pharmaceuticals, Inc.",26.83,874434935.38,Health Care
817,DDBI,Legg Mason Developed EX-US Diversified Core ETF,31.0599,6211980,n/a
818,DELT,Delta Technology Holdings Limited,1.27,12778332.33,Basic Industries
819,DENN,Denny&#39;s Corporation,15.21,992951235.9,Consumer Services
820,DEPO,"Depomed, Inc.",7.23,455587250.73,Health Care
821,DERM,"Dermira, Inc.",28.36,1181878553.68,Health Care
822,DEST,Destination Maternity Corporation,2.56,37400025.6,Consumer Services
823,DFBG,Differential Brands Group Inc.,1.16,15463784.84,Consumer Non-Durables
824,DFFN,Diffusion Pharmaceuticals Inc.,0.65,19189124.5,Health Care
825,DFNL,Davis Select Financial ETF,25.498,0,n/a
826,DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",17.65,374518421.1,Consumer Services
827,DFVL,iPath US Treasury 5-year Bull ETN,61.72,4480872,Finance
828,DFVS,iPath US Treasury 5-year Bear ETN,34.78,1283382,Finance
829,DGICA,"Donegal Group, Inc.",17.51,480314183.5,Finance
830,DGICB,"Donegal Group, Inc.",15.25,418320462.5,Finance
831,DGII,Digi International Inc.,10.4,278680417.6,Technology
832,DGLD,VelocityShares 3x Inverse Gold ETN,39.4,16902994,Finance
833,DGLY,"Digital Ally, Inc.",2.15,15006421.65,Technology
834,DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund,28.25,79100000,n/a
835,DGRS,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,35.706,110688600,n/a
836,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,43.58,2185537000,n/a
837,DHIL,"Diamond Hill Investment Group, Inc.",210.71,731008406.73,Finance
838,DHXM,DHX Media Ltd.,3.95,132663005.45,n/a
839,DIOD,Diodes Incorporated,28.25,1395271172.5,Technology
840,DISCA,"Discovery Communications, Inc.",25.28,9582516012.16,Consumer Services
841,DISCB,"Discovery Communications, Inc.",32.3275,12253907689.205,Consumer Services
842,DISCK,"Discovery Communications, Inc.",24.17,9161764715.74,Consumer Services
843,DISH,DISH Network Corporation,47.16,21993415314.12,Consumer Services
844,DJCO,Daily Journal Corp. (S.C.),234,323094564,Consumer Services
845,DLBL,iPath US Treasury Long Bond Bull ETN,76.06,4402885.22,Finance
846,DLBS,iPath US Treasury Long Bond Bear ETN,19.591,18473176.722,Finance
847,DLHC,DLH Holdings Corp.,6.01,71413788.94,Technology
848,DLPN,"Dolphin Entertainment, Inc.",3.4,31847993.8,Consumer Services
849,DLPNW,"Dolphin Entertainment, Inc.",0.4,0,Consumer Services
850,DLTH,Duluth Holdings Inc.,17.09,554763736.63,Consumer Services
851,DLTR,"Dollar Tree, Inc.",113.87,26998180276.92,Consumer Services
852,DMLP,"Dorchester Minerals, L.P.",15.9,513248406.6,Energy
853,DMPI,"DelMar Pharmaceuticals, Inc.",1.51,32618227.25,Health Care
854,DMRC,Digimarc Corporation,30.7,357967771.6,Technology
855,DNBF,DNB Financial Corp,34.4,146847855.2,Finance
856,DNKN,"Dunkin&#39; Brands Group, Inc.",64.28,5805956204.84,Consumer Services
857,DNLI,Denali Therapeutics Inc.,21.18,1863405280.5,Health Care
858,DOGZ,Dogness (International) Corporation,4.2,109200000,Consumer Durables
859,DORM,"Dorman Products, Inc.",75.6,2549415405.6,Capital Goods
860,DOTA,"Draper Oakwood Technology Acquisition, Inc.",9.8001,74235757.5,Finance
861,DOTAR,"Draper Oakwood Technology Acquisition, Inc.",0.62,0,Finance
862,DOTAU,"Draper Oakwood Technology Acquisition, Inc.",10.63,0,Finance
863,DOTAW,"Draper Oakwood Technology Acquisition, Inc.",0.7999,0,Finance
864,DOVA,"Dova Pharmaceuticals, Inc.",31.49,807795870.93,Health Care
865,DOX,Amdocs Limited,68.15,9807761657.65,Technology
866,DRAD,Digirad Corporation,2.3,46121863.2,Health Care
867,DRIO,DarioHealth Corp.,1.535,21241656.955,Health Care
868,DRIOW,DarioHealth Corp.,0.23,0,Health Care
869,DRNA,"Dicerna Pharmaceuticals, Inc.",9.79,505572615.02,Health Care
870,DRRX,DURECT Corporation,1.19,176769895.89,Health Care
871,DRYS,DryShips Inc.,3.27,340978295.16,Transportation
872,DSGX,The Descartes Systems Group Inc.,28.5,2188044664.5,Technology
873,DSKE,"Daseke, Inc.",13.59,661833000,Consumer Services
874,DSKEW,"Daseke, Inc.",1.77,0,Consumer Services
875,DSLV,VelocityShares 3x Inverse Silver ETN,22.43,36761334.48,Finance
876,DSPG,"DSP Group, Inc.",13.05,291314915.1,Technology
877,DSWL,"Deswell Industries, Inc.",2.69,42731292.91,Consumer Non-Durables
878,DTEA,DAVIDsTEA Inc.,3.8577,99700771.2855,Consumer Non-Durables
879,DTRM,"Determine, Inc. ",1.82,26952329.04,Technology
880,DTUL,iPath US Treasury 2-year Bull ETN,58.33,4026694.89,Finance
881,DTUS,iPath US Treasury 2-year Bear ETN,37.4,9350112.2,Finance
882,DTYL,iPath US Treasury 10-year Bull ETN,73.43,5051469.99,Finance
883,DTYS,iPath US Treasury 10-year Bear ETN,22.1799,59564542.8681,Finance
884,DUSA,Davis Select U.S. Equity ETF,24.86,0,n/a
885,DVAX,Dynavax Technologies Corporation,16.45,996808328.95,Health Care
886,DVCR,Diversicare Healthcare Services Inc.,8.15,52631363.4,Health Care
887,DVY,iShares Select Dividend ETF,100.23,17871009000,n/a
888,DWAC,Elkhorn Commodity Rotation Strategy ETF,26.35,2635052.7,n/a
889,DWAQ,PowerShares DWA NASDAQ Momentum Portfolio,109.59,49315500,n/a
890,DWAS,PowerShares DWA SmallCap Momentum Portfolio,50.98,252351000,n/a
891,DWAT,Arrow DWA Tactical ETF,12.329,8630300,n/a
892,DWCH,Datawatch Corporation,11.35,140026573.05,Technology
893,DWCR,Arrow DWA Country Rotation ETF,32.39,4858500,n/a
894,DWFI,SPDR Dorsey Wright Fixed Income Allocation ETF,25.471,146458250,n/a
895,DWIN,PowerShares DWA Tactical Multi-Asset Income Portfolio,26.58,101004026.58,n/a
896,DWLD,Davis Select Worldwide ETF,27.89,0,n/a
897,DWLV,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,32.51,8127532.51,n/a
898,DWPP,First Trust Dorsey Wright People&#39;s Portfolio ETF,29.8983,29898359.7966,n/a
899,DWSN,Dawson Geophysical Company,6.78,147248162.04,Energy
900,DWTR,PowerShares DWA Tactical Sector Rotation Portfolio,29.685,66791279.685,n/a
901,DXCM,"DexCom, Inc.",57.87,5029085001.15,Health Care
902,DXGE,WisdomTree Germany Hedged Equity Fund,32.4801,107184330,n/a
903,DXJS,WisdomTree Japan Hedged SmallCap Equity Fund,47.2,250160000,n/a
904,DXLG,"Destination XL Group, Inc.",2.575,125367770.975,Consumer Services
905,DXPE,"DXP Enterprises, Inc.",33.69,585930281.04,Capital Goods
906,DXPS,WisdomTree United Kingdom Hedged Equity Fund,24.25,13337500,n/a
907,DXYN,"The Dixie Group, Inc.",3.5,56494588.5,Consumer Durables
908,DYNT,Dynatronics Corporation,2.6871,13222509.7056,Health Care
909,DYSL,Dynasil Corporation of America,1.3999,23958732.7397,Capital Goods
910,DZSI,"DASAN Zhone Solutions, Inc.",9.51,155839942.05,Public Utilities
911,EA,Electronic Arts Inc.,128.18,39469884565.54,Technology
912,EACQ,Easterly Acquisition Corp.,10.15,65505024.55,Capital Goods
913,EACQU,Easterly Acquisition Corp.,10.1,0,Capital Goods
914,EACQW,Easterly Acquisition Corp.,0.65,0,Capital Goods
915,EAGLU,Platinum Eagle Acquisition Corp.,10,0,Finance
916,EARS,Auris Medical Holding AG,0.372,17139487.08,Health Care
917,EAST,"Eastside Distilling, Inc.",5.3,25569314.7,Consumer Non-Durables
918,EASTW,"Eastside Distilling, Inc.",1.27,0,Consumer Non-Durables
919,EBAY,eBay Inc.,46.19,48248741002.79,Miscellaneous
920,EBAYL,eBay Inc.,25.77,0,Miscellaneous
921,EBIO,"Eleven Biotherapeutics, Inc.",0.9525,30319975.2375,Health Care
922,EBIX,"Ebix, Inc.",83.05,2612385420.7,Technology
923,EBMT,"Eagle Bancorp Montana, Inc.",20.2,101009090,Finance
924,EBSB,"Meridian Bancorp, Inc.",20.4,1102402046.4,Finance
925,EBTC,Enterprise Bancorp Inc,34.01,394851100.53,Finance
926,ECHO,"Echo Global Logistics, Inc.",29.5,823274849,Transportation
927,ECOL,"US Ecology, Inc.",51.5,1125231997.5,Public Utilities
928,ECPG,Encore Capital Group Inc,41.45,1067150353.25,Finance
929,ECYT,"Endocyte, Inc.",3.16,151304064.28,Health Care
930,EDAP,EDAP TMS S.A.,2.7499,80688374.2706,Health Care
931,EDBI,Legg Mason Emerging Markets Diversified Core ETF,34.78,0,n/a
932,EDGE,"Edge Therapeutics, Inc.",13.23,408267216,Health Care
933,EDGW,"Edgewater Technology, Inc.",5.95,83391879.9,Technology
934,EDIT,"Editas Medicine, Inc.",36.57,1658919497.64,Health Care
935,EDUC,Educational Development Corporation,22.8,93227695.2,Consumer Durables
936,EEFT,"Euronet Worldwide, Inc.",89.98,4740239439.32,Finance
937,EEI,"Ecology and Environment, Inc.",10.8498,46671543.0792,Consumer Services
938,EEMA,iShares MSCI Emerging Markets Asia Index Fund,78.51,714441000,n/a
939,EFAS,Global X MSCI SuperDividend EAFE ETF,18.8101,0,n/a
940,EFBI,"Eagle Financial Bancorp, Inc.",15.896,25637195.968,Finance
941,EFII,"Electronics for Imaging, Inc.",29.42,1344226836.98,Technology
942,EFOI,"Energy Focus, Inc.",2.81,33317728.83,Consumer Durables
943,EFSC,Enterprise Financial Services Corporation,49.15,1133637377.5,Finance
944,EGAN,eGain Corporation,5.3,144334348.8,Technology
945,EGBN,"Eagle Bancorp, Inc.",63.8,2181013399.4,Finance
946,EGHT,8x8 Inc,17.5,1609169117.5,Public Utilities
947,EGLE,Eagle Bulk Shipping Inc.,4.7,348378335,Transportation
948,EGLT,Egalet Corporation,0.9195,42245217.438,Health Care
949,EGOV,NIC Inc.,13.3,881380120.6,Miscellaneous
950,EGRX,"Eagle Pharmaceuticals, Inc.",59.43,886792054.89,Health Care
951,EHTH,"eHealth, Inc.",16.61,309316386.39,Finance
952,EIGI,"Endurance International Group Holdings, Inc.",8.275,1187390408.2,Technology
953,EIGR,"Eiger BioPharmaceuticals, Inc.",8.5,89389451,Health Care
954,EKSO,"Ekso Bionics Holdings, Inc.",1.47,88058697.72,Capital Goods
955,ELEC,Electrum Special Acquisition Corporation,10.31,185890042.32,Finance
956,ELECU,Electrum Special Acquisition Corporation,10.6,191118763.2,Finance
957,ELECW,Electrum Special Acquisition Corporation,0.4,0,Finance
958,ELGX,"Endologix, Inc.",4.2,350505582,Health Care
959,ELON,Echelon Corporation,4.8199,21787620.5053,Technology
960,ELSE,"Electro-Sensors, Inc.",4.0601,13786154.8121,Capital Goods
961,ELTK,Eltek Ltd.,4.1,8317063.2,Technology
962,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,115,14237000000,n/a
963,EMCB,WisdomTree Emerging Markets Corporate Bond Fund,72.8036,50962520,n/a
964,EMCF,Emclaire Financial Corp,30.9,69969620.1,Finance
965,EMCG,WisdomTree Emerging Markets Consumer Growth Fund,28.12,47804000,n/a
966,EMCI,EMC Insurance Group Inc.,28.19,603254103.82,Finance
967,EMIF,iShares S&P Emerging Markets Infrastructure Index Fund,34.1402,42675250,n/a
968,EMITF,Elbit Imaging Ltd.,2.85,26193802.8,Consumer Services
969,EMKR,EMCORE Corporation,6.65,180878417.3,Technology
970,EML,Eastern Company (The),26.65,166866709.75,Capital Goods
971,EMMS,Emmis Communications Corporation,3.42,43669901.34,Consumer Services
972,EMXC,iShares MSCI Emerging Markets ex China ETF,57.13,11426000,n/a
973,ENDP,Endo International plc,6.8,1518531548.4,Health Care
974,ENFC,Entegra Financial Corp.,28.85,198464660.35,Finance
975,ENG,ENGlobal Corporation,0.801,22038372.774,Consumer Services
976,ENPH,"Enphase Energy, Inc.",2.17,185605566.23,Technology
977,ENSG,"The Ensign Group, Inc.",22.85,1169247593.05,Health Care
978,ENT,Global Eagle Entertainment Inc.,2.57,233280128.46,Consumer Services
979,ENTA,"Enanta Pharmaceuticals, Inc.",86.24,1651621737.92,Health Care
980,ENTG,"Entegris, Inc.",33,4666092189,Consumer Non-Durables
981,ENTL,"Entellus Medical, Inc.",24.1,620050029.7,Health Care
982,ENTX,Entera Bio Ltd.,2.12,0,Health Care
983,ENZL,iShares MSCI New Zealand ETF,49.63,148890000,n/a
984,EPAY,"Bottomline Technologies, Inc.",36.69,1485341963.16,Technology
985,EPIX,ESSA Pharma Inc.,0.2,5820377.8,Health Care
986,EPZM,"Epizyme, Inc.",16.45,1139699230.6,Health Care
987,EQBK,"Equity Bancshares, Inc.",36.23,529161141.61,Finance
988,EQFN,Equitable Financial Corp.,10.76,36249708.32,Finance
989,EQIX,"Equinix, Inc.",444.54,34778007664.38,Consumer Services
990,EQRR,ProShares Equities for Rising Rates ETF,49.46,16074549.46,n/a
991,ERI,"Eldorado Resorts, Inc.",34.65,2661972216.75,Consumer Services
992,ERIC,Ericsson,6.64,2065307572.08,Technology
993,ERIE,Erie Indemnity Company,119.14,6229814873.52,Finance
994,ERII,"Energy Recovery, Inc.",7.5,401962762.5,Technology
995,ERYP,Erytech Pharma S.A.,22.64,122021517.52,Health Care
996,ESBK,Elmira Savings Bank NY (The),20.5,56496565,Finance
997,ESCA,"Escalade, Incorporated",13,186817618,Consumer Non-Durables
998,ESEA,Euroseas Ltd.,1.8132,20260435.6992,Transportation
999,ESES,"Eco-Stim Energy Solutions, Inc.",1.4,104363063,Energy
1000,ESG,FlexShares STOXX US ESG Impact Index Fund,66.97,16742566.97,n/a
1001,ESGD,iShares MSCI EAFE ESG Optimized ETF,71.37,142740000,n/a
1002,ESGE,iShares MSCI EM ESG Optimized ETF,79.4106,230290740,n/a
1003,ESGG,FlexShares STOXX Global ESG Impact Index Fund,99.98,54989099.98,n/a
1004,ESGR,Enstar Group Limited,208.65,4053722932.35,Finance
1005,ESGU,iShares MSCI USA ESG Optimized ETF,61.56,24624000,n/a
1006,ESIO,"Electro Scientific Industries, Inc.",19.56,655098317.04,Miscellaneous
1007,ESLT,Elbit Systems Ltd.,149.56,6393373531.04,Capital Goods
1008,ESND,Essendant Inc.,9.12,343019643.36,Consumer Services
1009,ESPR,"Esperion Therapeutics, Inc.",69.22,1813408185.78,Health Care
1010,ESQ,"Esquire Financial Holdings, Inc.",24.75,181331766,Finance
1011,ESRX,Express Scripts Holding Company,78.1,44233731300,Health Care
1012,ESSA,"ESSA Bancorp, Inc.",16.16,188077481.28,Finance
1013,ESTR,"Estre Ambiental, Inc.",9.19,425037500,Public Utilities
1014,ESTRW,"Estre Ambiental, Inc.",0.65,0,Public Utilities
1015,ESXB,Community Bankers Trust Corporation.,8.15,179689838.95,Finance
1016,ETFC,E*TRADE Financial Corporation,54.1,14435388362.1,Finance
1017,ETSY,"Etsy, Inc.",19.16,2332045394.04,Miscellaneous
1018,EUFN,iShares MSCI Europe Financials Sector Index Fund,25.53,2638525500,n/a
1019,EVBG,"Everbridge, Inc.",32.24,910931237.84,Technology
1020,EVEP,"EV Energy Partners, L.P.",0.75,37026651.75,Energy
1021,EVFM,"Evofem Biosciences, Inc.",8.62,153066762.3,Health Care
1022,EVFTC,Eaton Vance NextShares Trust II,100.0167,0,n/a
1023,EVGBC,Eaton Vance Global Income Builder NextShares,99.98,24995000,n/a
1024,EVGN,Evogene Ltd.,3.68,94762012.96,Basic Industries
1025,EVK,"Ever-Glory International Group, Inc.",2.65,39209378.8,Consumer Non-Durables
1026,EVLMC,Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShar,99.9034,34966190,n/a
1027,EVLV,EVINE Live Inc.,1.2083,78857042.4483,Consumer Services
1028,EVOK,"Evoke Pharma, Inc.",2.67,41154338.7,Health Care
1029,EVOL,"Evolving Systems, Inc.",5.5,68903488.5,Technology
1030,EVSTC,Eaton Vance Stock NextShares,99.98,22495500,n/a
1031,EWBC,"East West Bancorp, Inc.",66.89,9668475316.79,Finance
1032,EWZS,iShares MSCI Brazil Small-Cap ETF,18.0274,83827410,n/a
1033,EXAC,"Exactech, Inc.",50.15,723356779.6,Health Care
1034,EXAS,Exact Sciences Corporation,49.6,5938627889.6,Health Care
1035,EXEL,"Exelixis, Inc.",30.66,9070859418.6,Health Care
1036,EXFO,EXFO Inc,4.6,107053159.6,Capital Goods
1037,EXLS,"ExlService Holdings, Inc.",61.12,2074594570.88,Miscellaneous
1038,EXPD,"Expeditors International of Washington, Inc.",64.57,11474273024.5,Transportation
1039,EXPE,"Expedia, Inc.",129.11,19688629708.22,Consumer Services
1040,EXPO,"Exponent, Inc.",75.2,1940968324.8,Consumer Services
1041,EXTR,"Extreme Networks, Inc.",14.82,1680885867.18,Technology
1042,EXXI,"Energy XXI Gulf Coast, Inc.",6.81,226237917.87,Energy
1043,EYE,"National Vision Holdings, Inc.",39.34,2936881750.88,Health Care
1044,EYEG,"Eyegate Pharmaceuticals, Inc.",1.04,17892969.12,Health Care
1045,EYEGW,"Eyegate Pharmaceuticals, Inc.",0.17,0,Health Care
1046,EYEN,"Eyenovia, Inc.",9.11,90523983.81,Health Care
1047,EYES,"Second Sight Medical Products, Inc.",1.91,108500132.32,Health Care
1048,EYESW,"Second Sight Medical Products, Inc.",0.82,0,Health Care
1049,EZPW,"EZCORP, Inc.",13.5,734373040.5,Consumer Services
1050,FAAR,First Trust Alternative Absolute Return Strategy ETF,29.573,7393309.146,n/a
1051,FAB,First Trust Multi Cap Value AlphaDEX Fund,57.79,104022115.58,n/a
1052,FAD,First Trust Multi Cap Growth AlphaDEX Fund,69.386,131833538.772,n/a
1053,FALN,iShares Fallen Angels USD Bond ETF,27.4,50690000,n/a
1054,FANG,"Diamondback Energy, Inc.",126.64,12431905478.96,Energy
1055,FANH,Fanhua Inc.,29.77,1088041223.88,Finance
1056,FARM,Farmer Brothers Company,31.5,530563005,Consumer Non-Durables
1057,FARO,"FARO Technologies, Inc.",53,885691056,Capital Goods
1058,FAST,Fastenal Company,54.5,15673738712,Consumer Services
1059,FAT,FAT Brands Inc.,8.18,81800000,Consumer Services
1060,FATE,"Fate Therapeutics, Inc.",9.33,388927534.35,Health Care
1061,FB,"Facebook, Inc.",193.09,561082611151.32,Technology
1062,FBIO,"Fortress Biotech, Inc.",3.78,191481581.34,Health Care
1063,FBIOP,"Fortress Biotech, Inc.",21.73,0,Health Care
1064,FBIZ,"First Business Financial Services, Inc.",24.2,212077643.8,Finance
1065,FBMS,"The First Bancshares, Inc.",33,368474931,Finance
1066,FBNC,First Bancorp,36.95,1095345430.5,Finance
1067,FBNK,"First Connecticut Bancorp, Inc.",25.6,408395417.6,Finance
1068,FBSS,"Fauquier Bankshares, Inc.",21.98,82703640.46,Finance
1069,FBZ,First Trust Brazil AlphaDEX Fund,17.28,10368034.56,n/a
1070,FCA,First Trust China AlphaDEX Fund,32.9718,9891605.9436,n/a
1071,FCAL,First Trust California Municipal High income ETF,50.4,10080100.8,n/a
1072,FCAN,First Trust Canada AlphaDEX Fund,26.66,6665053.32,n/a
1073,FCAP,"First Capital, Inc.",37.38,124735714.32,Finance
1074,FCBC,"First Community Bancshares, Inc.",28.12,477990115.12,Finance
1075,FCCO,First Community Corporation,21.85,146534971.1,Finance
1076,FCCY,1st Constitution Bancorp (NJ),19.3,155811891.5,Finance
1077,FCEF,First Trust CEF Income Opportunity ETF,22.177,34485235,n/a
1078,FCEL,"FuelCell Energy, Inc.",1.71,129410951.49,Miscellaneous
1079,FCFS,"First Cash, Inc.",74.25,3503611509.75,Consumer Services
1080,FCNCA,"First Citizens BancShares, Inc.",438.65,5268364153.25,Finance
1081,FCRE,FC Global Realty Incorporated,0.86,4506682.08,Health Care
1082,FCSC,Fibrocell Science Inc,0.66,17094000,Health Care
1083,FCVT,First Trust SSI Strategic Convertible Securities ETF,29.469,72199108.938,n/a
1084,FDBC,"Fidelity D & D Bancorp, Inc.",47.2,176054961.6,Finance
1085,FDEF,First Defiance Financial Corp.,56.05,569299850,Finance
1086,FDIV,First Trust Strategic Income ETF,51.2607,99958467.5214,n/a
1087,FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,66.2,1009682400,n/a
1088,FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,47.2597,14178004.5194,n/a
1089,FDUS,Fidus Investment Corporation,14.59,357351119.2,n/a
1090,FEIM,"Frequency Electronics, Inc.",9.5,82931979,Capital Goods
1091,FELE,"Franklin Electric Co., Inc.",45.5,2120147666,Consumer Durables
1092,FEM,First Trust Emerging Markets AlphaDEX Fund,30.41,544339060.82,n/a
1093,FEMB,First Trust Emerging Markets Local Currency Bond ETF,43.95,48345087.9,n/a
1094,FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,46.47,339231092.94,n/a
1095,FENC,Fennec Pharmaceuticals Inc.,8.83,162572423.59,Health Care
1096,FEP,First Trust Europe AlphaDEX Fund,41.81,809023583.62,n/a
1097,FEUZ,First Trust Eurozone AlphaDEX ETF,47.3492,52084214.6984,n/a
1098,FEX,First Trust Large Cap Core AlphaDEX Fund,61.48,1549296122.96,n/a
1099,FEYE,"FireEye, Inc.",15.06,2779894978.8,Technology
1100,FFBC,First Financial Bancorp.,28.8,1787589705.6,Finance
1101,FFBCW,First Financial Bancorp.,18,0,Finance
1102,FFBW,"FFBW, Inc.",11.06,73134250,Finance
1103,FFHL,"Fuwei Films (Holdings) Co., Ltd.",3.62,11822329.94,Capital Goods
1104,FFIC,Flushing Financial Corporation,28.66,825978076.06,Finance
1105,FFIN,"First Financial Bankshares, Inc.",46.95,3169849344.6,Finance
1106,FFIV,"F5 Networks, Inc.",145.03,8969273607.92,Technology
1107,FFKT,Farmers Capital Bank Corporation,39.65,298081047.55,Finance
1108,FFNW,"First Financial Northwest, Inc.",15.95,171437570.15,Finance
1109,FFWM,First Foundation Inc.,19.2,733589107.2,Finance
1110,FGBI,"First Guaranty Bancshares, Inc.",27,237813273,Finance
1111,FGEN,"FibroGen, Inc",59.35,4878420378.65,Health Care
1112,FGM,First Trust Germany AlphaDEX Fund,53.78,282345107.56,n/a
1113,FHB,"First Hawaiian, Inc.",29.02,4050793903.64,Finance
1114,FHK,First Trust Hong Kong AlphaDEX Fund,44.879,4487989.758,n/a
1115,FIBK,"First Interstate BancSystem, Inc.",42.15,2379615679.2,Finance
1116,FINL,"The Finish Line, Inc.",11.17,450442112.54,Consumer Services
1117,FINX,Global X FinTech ETF,23.685,0,n/a
1118,FISI,"Financial Institutions, Inc.",32.3,514236122.9,Finance
1119,FISV,"Fiserv, Inc.",140.1,29196755099.4,Technology
1120,FITB,Fifth Third Bancorp,33.66,23353476300,Finance
1121,FITBI,Fifth Third Bancorp,28.05,504900000,Finance
1122,FIVE,"Five Below, Inc.",64.97,3588627110.77,Consumer Services
1123,FIVN,"Five9, Inc.",25.9,1441360123,Technology
1124,FIXD,First Trust TCW Opportunistic Fixed Income ETF,50.0126,285071920.0252,n/a
1125,FIZZ,National Beverage Corp.,110.35,5142392762.5,Consumer Non-Durables
1126,FJP,First Trust Japan AlphaDEX Fund,62.3399,124679924.6798,n/a
1127,FKO,First Trust South Korea AlphaDEX Fund,30.99,3099061.98,n/a
1128,FKU,First Trust United Kingdom AlphaDEX Fund,42.28,19026084.56,n/a
1129,FLAG,WeatherStorm Forensic Accounting Long Short ETF,43.8399,17535960,n/a
1130,FLAT,iPath US Treasury Flattener ETN,61.901,2893376.542,Finance
1131,FLDM,Fluidigm Corporation,6.18,238842705.66,Capital Goods
1132,FLEX,Flex Ltd.,18.15,9577125576.15,Technology
1133,FLGT,"Fulgent Genetics, Inc.",4.6,81985744.8,Health Care
1134,FLIC,The First of Long Island Corporation,28.5,701988174,Finance
1135,FLIR,"FLIR Systems, Inc.",51.42,7125487112.28,Capital Goods
1136,FLKS,"Flex Pharma, Inc.",3.91,69989000,Health Care
1137,FLL,"Full House Resorts, Inc.",3.43,78515522.89,Consumer Services
1138,FLN,First Trust Latin America AlphaDEX Fund,23.02,19567046.04,n/a
1139,FLWS,"1-800 FLOWERS.COM, Inc.",10.35,668863181.7,Consumer Services
1140,FLXN,"Flexion Therapeutics, Inc.",22.31,837535894.99,Health Care
1141,FLXS,"Flexsteel Industries, Inc.",43.93,344642667.17,Consumer Durables
1142,FMAO,"Farmers & Merchants Bancorp, Inc.",40.28,373261709.28,Finance
1143,FMB,First Trust Managed Municipal ETF,52.78,311402105.56,n/a
1144,FMBH,"First Mid-Illinois Bancshares, Inc.",38.45,486805760.6,Finance
1145,FMBI,"First Midwest Bancorp, Inc.",25.37,2606232167.63,Finance
1146,FMCI,Forum Merger Corporation,10.08,225363600,Technology
1147,FMCIR,Forum Merger Corporation,0.84,0,Technology
1148,FMCIU,Forum Merger Corporation,11.25,0,Technology
1149,FMCIW,Forum Merger Corporation,0.8608,0,Technology
1150,FMHI,First Trust Municipal High Income ETF,49.884,19953699.768,n/a
1151,FMI,"Foundation Medicine, Inc.",70.65,2561244635.7,Health Care
1152,FMK,First Trust Mega Cap AlphaDEX Fund,35.9034,16156601.8068,n/a
1153,FMNB,Farmers National Banc Corp.,14.95,411783517.6,Finance
1154,FNBG,FNB Bancorp,36.1,266422765.2,Finance
1155,FNGN,"Financial Engines, Inc.",28.8,1823543366.4,Finance
1156,FNHC,Federated National Holding Company,14.66,191361099.46,Finance
1157,FNJN,"Finjan Holdings, Inc.",1.93,53475144.97,Miscellaneous
1158,FNK,First Trust Mid Cap Value AlphaDEX Fund,36.49,52910572.98,n/a
1159,FNKO,"Funko, Inc.",7.47,360902868.39,Consumer Non-Durables
1160,FNLC,"First Bancorp, Inc (ME)",28.32,306633865.44,Finance
1161,FNSR,Finisar Corporation,17.99,2051293253.17,Technology
1162,FNTE,FinTech Acquisition Corp. II,9.9,236543996.7,Finance
1163,FNTEU,FinTech Acquisition Corp. II,10.49,0,Finance
1164,FNTEW,FinTech Acquisition Corp. II,1.23,0,Finance
1165,FNWB,First Northwest Bancorp,17,201275019,Finance
1166,FNX,First Trust Mid Cap Core AlphaDEX Fund,67.94,811883135.88,n/a
1167,FNY,First Trust Mid Cap Growth AlphaDEX Fund,41.5591,135067158.1182,n/a
1168,FOANC,Gabelli NextShares Trust,100.04,0,n/a
1169,FOGO,"Fogo de Chao, Inc.",13.25,374352753.5,Consumer Services
1170,FOLD,"Amicus Therapeutics, Inc.",16.63,2777210000,Health Care
1171,FOMX,Foamix Pharmaceuticals Ltd.,6.7,250801790.1,Consumer Durables
1172,FONE,First Trust NASDAQ Smartphone Index Fund,53.7,16110107.4,n/a
